"major_heading";"activity_code";"met_value";"activity_description";"cal_60kg_h";"cal_70kg_h";"cal_80kg_h"
"Bicycling";"01290";"8.8";"Bicycling, interactive virtual cycling, indoor cycle ergometer";"554";"647";"739"
"Bicycling";"01305";"8.8";"Bicycling, high intensity interval training";"554";"647";"739"
"Conditioning Exercise";"02000";"7.3";"Aerobic, general";"460";"537";"613"
"Conditioning Exercise";"02001";"5.5";"Aerobic, step, with 4-inch step";"346";"404";"462"
"Conditioning Exercise";"02002";"7.3";"Aerobic, step, with 6 – 8 inch step";"460";"537";"613"
"Conditioning Exercise";"02003";"9";"Aerobic, step, with 10 – 12 inch step";"567";"662";"756"
"Conditioning Exercise";"02004";"7.8";"Bench step class, general";"491";"573";"655"
"Conditioning Exercise";"02005";"4.8";"Aerobic dance, low impact, moderate effort";"302";"353";"403"
"Conditioning Exercise";"02006";"8";"Aerobic dance, high impact, vigorous effort";"504";"588";"672"
"Conditioning Exercise";"02007";"10";"Aerobic dance wearing 10-15 lb weights";"630";"735";"840"
"Conditioning Exercise";"02008";"5";"Army type obstacle course exercise, boot camp training program";"315";"368";"420"
"Conditioning Exercise";"02020";"7.5";"Calisthenics (e.g., pushups, sit ups, pull-ups, jumping jacks, burpees, battling ropes), vigorous effort";"472";"551";"630"
"Conditioning Exercise";"02022";"3.8";"Calisthenics (e.g., pushups, sit ups, pull-ups, lunges), moderate effort";"239";"279";"319"
"Conditioning Exercise";"02024";"2.8";"Calisthenics (e.g., curl ups, abdominal crunches, plank),  light effort";"176";"206";"235"
"Conditioning Exercise";"02030";"3.5";"Calisthenics, light or moderate effort, general (e.g., back exercises), going up & down from floor (Taylor Code 150)";"220";"257";"294"
"Conditioning Exercise";"02032";"6";"Circuit training, body weight exercises";"378";"441";"504"
"Conditioning Exercise";"02034";"3.5";"Circuit training, light effort";"220";"257";"294"
"Conditioning Exercise";"02035";"5";"Circuit training, moderate effort";"315";"368";"420"
"Conditioning Exercise";"02040";"7.5";"Circuit training, including kettlebells, some aerobic movement with minimal rest, general, vigorous intensity";"472";"551";"630"
"Conditioning Exercise";"02045";"3.5";"Curves™ exercise routines in women";"220";"257";"294"
"Conditioning Exercise";"02048";"5";"Elliptical trainer, moderate effort";"315";"368";"420"
"Conditioning Exercise";"02049";"9";"Elliptical trainer, vigorous effort";"567";"662";"756"
"Conditioning Exercise";"02052";"5";"Resistance (weight) training, squats, deadlift, slow or explosive effort";"315";"368";"420"
"Conditioning Exercise";"02054";"3.5";"Resistance (weight) training, multiple exercises, 8-15 reps at varied resistance";"220";"257";"294"
"Conditioning Exercise";"02055";"5.8";"Resistance Training, circuit, reciprocol supersets, peripheral hear action training";"365";"426";"487"
"Conditioning Exercise";"02056";"3";"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), general";"189";"220";"252"
"Conditioning Exercise";"02057";"6.5";"Body weight resistance exercises (e.g., squat, lunge, push-up, crunch), high intensity";"410";"478";"546"
"Conditioning Exercise";"02058";"9.8";"Kettle bell swings";"617";"720";"823"
"Conditioning Exercise";"02060";"5.5";"Health club exercise, general (Taylor Code 160)";"346";"404";"462"
"Conditioning Exercise";"02061";"5";"Health club exercise classes general, gym/weight training combined in one visit";"315";"368";"420"
"Conditioning Exercise";"02062";"7.8";"Health club exercise, conditioning classes";"491";"573";"655"
"Conditioning Exercise";"02064";"3.8";"Home exercise, general";"239";"279";"319"
"Conditioning Exercise";"02065";"9.3";"Stair treadmill ergometer, general";"586";"684";"781"
"Conditioning Exercise";"02068";"11";"Rope skipping exercise, general";"693";"808";"924"
"Conditioning Exercise";"02069";"9";"Jumping rope, Digi-Jump Maching, 120 jumps/minute";"567";"662";"756"
"Conditioning Exercise";"02070";"7.3";"Rowing, stationary ergometer, general, vigorous effort";"460";"537";"613"
"Conditioning Exercise";"02071";"5";"Rowing, stationary ergometer, general, <100 watts,  moderate effort";"315";"368";"420"
"Conditioning Exercise";"02072";"7.5";"Rowing, stationary, 100 to 149 watts, vigorous effort";"472";"551";"630"
"Conditioning Exercise";"02073";"11";"Rowing, stationary, 150 to 199 watts, vigorous effort";"693";"808";"924"
"Conditioning Exercise";"02074";"14";"Rowing, stationary, >= 200 watts, very vigorous effort";"882";"1029";"1176"
"Conditioning Exercise";"02078";"11";"Shuttle running, forward/backward/lateral";"693";"808";"924"
"Conditioning Exercise";"02080";"6.8";"Ski machine, general";"428";"500";"571"
"Conditioning Exercise";"02082";"10.5";"Ski ergometer, cross country, double poling, slow to moderate speed";"662";"772";"882"
"Conditioning Exercise";"02084";"18";"Ski ergometer, cross country, double poling, fast to maximum speed";"1134";"1323";"1512"
"Conditioning Exercise";"02085";"10.5";"Slide board exercise, general";"662";"772";"882"
"Conditioning Exercise";"02090";"6";"Slimnastics, jazzercise";"378";"441";"504"
"Conditioning Exercise";"02101";"2.3";"Stretching, mild";"145";"169";"193"
"Conditioning Exercise";"02103";"1.8";"Pilates, traditional, mat";"113";"132";"151"
"Conditioning Exercise";"02105";"2.8";"Pilates, general";"176";"206";"235"
"Conditioning Exercise";"02107";"8.5";"Pound, combination of Pilates and body movements with drumming";"536";"625";"714"
"Conditioning Exercise";"02108";"4.5";"Pole dancing, exercise class";"284";"331";"378"
"Conditioning Exercise";"02110";"6.8";"Teaching exercise classes (e.g., aerobic, water)";"428";"500";"571"
"Conditioning Exercise";"02112";"2.8";"Therapeutic exercise ball, Fitball exercise";"176";"206";"235"
"Conditioning Exercise";"02114";"9.5";"Therapeutic exercise ball, Fitball exercise, high intensity";"598";"698";"798"
"Conditioning Exercise";"02115";"2.8";"Upper body exercise, arm ergometer, general, light";"176";"206";"235"
"Conditioning Exercise";"02116";"2";"Arm Ergometer, hand bike, 15W";"126";"147";"168"
"Conditioning Exercise";"02117";"2.8";"Arm Ergometer, hand bike, 25-30W";"176";"206";"235"
"Conditioning Exercise";"02118";"3.5";"Arm Ergometer, hand bike, 45W";"220";"257";"294"
"Conditioning Exercise";"02119";"4.3";"Upper body exercise, stationary bicycle - Airdyne (arms only) 40 rpm, moderate intensity";"271";"316";"361"
"Conditioning Exercise";"02120";"5.3";"Water aerobics, water calisthenics, water exercise";"334";"390";"445"
"Conditioning Exercise";"02135";"1.3";"Whirlpool, sitting";"82";"96";"109"
"Conditioning Exercise";"02140";"2.5";"Video, exercise workouts, TV conditioning programs (e.g., yoga, stretching, seated), light effort";"158";"184";"210"
"Conditioning Exercise";"02143";"4";"Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), moderate";"252";"294";"336"
"Conditioning Exercise";"02145";"6";"Video, exercise workouts, TV conditioning programs (e.g., cardio-resistance training), vigorous";"378";"441";"504"
"Conditioning Exercise";"02150";"2.3";"Yoga, Hatha";"145";"169";"193"
"Conditioning Exercise";"02153";"8";"Yoga, Hatha, high intensity";"504";"588";"672"
"Conditioning Exercise";"02155";"3";"Yoga, Hot";"189";"220";"252"
"Conditioning Exercise";"02160";"4";"Yoga, Power";"252";"294";"336"
"Conditioning Exercise";"02170";"2";"Yoga, Nadisodhana";"126";"147";"168"
"Conditioning Exercise";"02175";"2.3";"Yoga, General";"145";"169";"193"
"Conditioning Exercise";"02180";"3.5";"Yoga, Surya Namaskar";"220";"257";"294"
"Conditioning Exercise";"02185";"2.7";"Yoga, Vinyasa";"170";"198";"227"
"Conditioning Exercise";"02200";"5.3";"Native New Zealander PA, (e.g., Haka Powhiri, Poi, Moteatea, etc.), general moderate effort";"334";"390";"445"
"Conditioning Exercise";"02205";"6.8";"Native New Zealander PA, general, vigorous effort";"428";"500";"571"
"Conditioning Exercise";"02210";"7";"High intensity interval exercise,  moderate effort";"441";"514";"588"
"Conditioning Exercise";"02214";"11";"High intensity interval exercise,  burpees, mountain climbers, squat jumps, Tabata, vigorous effort";"693";"808";"924"
"Conditioning Exercise";"02225";"2.3";"Balance Exercise Assist Robot (BEAR), simulated skiing, tennis, rodeo";"145";"169";"193"
"Conditioning Exercise";"02230";"5.8";"Hooping (formerly known as hula® hooping)";"365";"426";"487"
"Conditioning Exercise";"02240";"9";"Impulse Training System, Inertial Exercise Trainer";"567";"662";"756"
"Conditioning Exercise";"02280";"7.9";"Virtual Reality Fitness,  Supernatural™ “Flow”, “Boxing"" vigorous intensity";"498";"581";"664"
"Conditioning Exercise";"02284";"9.3";"ExerCube, workout series";"586";"684";"781"
"Conditioning Exercise";"02288";"13";"Blackbox Immersive virtual reality exergaming system, vigorous intensity";"819";"956";"1092"
"Conditioning Exercise";"02300";"3";"Wand exercise, Life-Build-Line";"189";"220";"252"
"Conditioning Exercise";"02310";"6.5";"Zumba, group class";"410";"478";"546"
"Conditioning Exercise";"02315";"5.5";"Zumba, home video";"346";"404";"462"
"Conditioning Exercise";"02340";"2.8";"Sit to stand exercise, 6-12 times/min";"176";"206";"235"
"Conditioning Exercise";"02344";"4";"Sit to stand exercise, 18-24 times/min";"252";"294";"336"
"Dancing";"03005";"6";"Afro-Cuban salsa (Cuban cha-cha-cha, mambo, Afro rumba, contratiempo son steps, orisha/santo movements)";"378";"441";"504"
"Dancing";"03010";"5";"Ballet, modern, or jazz general, rehearsal or class";"315";"368";"420"
"Dancing";"03011";"6.3";"Ballet exercises (plie, tendus, jetes, rond de Jambes, fondus, grand battement, grand adage, sautes, temp Leve's)";"397";"463";"529"
"Dancing";"03012";"6.8";"Ballet, modern, or jazz, performance, vigorous effort";"428";"500";"571"
"Dancing";"03014";"4.8";"Tap";"302";"353";"403"
"Dancing";"03025";"4.5";"Ethnic or cultural dancing (e.g. Greek, Middle Eastern, hula, salsa, merengue, bamba y plena,  flamenco, belly, and swing)";"284";"331";"378"
"Dancing";"03028";"5.5";"Chinese square dance, Ballet & Tibetan dance";"346";"404";"462"
"Dancing";"03029";"7.3";"Chinese square dance, aerobic dance";"460";"537";"613"
"Dancing";"03030";"5.5";"Ballroom dancing, fast (Taylor Code 125)";"346";"404";"462"
"Dancing";"03031";"9.8";"Nightclub or folk dancing, vigorous effort (e.g., nightclub, disco, folk, line dancing, Irish step dancing, polka, contra)";"617";"720";"823"
"Dancing";"03033";"5";"Folk dancing, moderate effort";"315";"368";"420"
"Dancing";"03038";"11.3";"Ballroom dancing, competitive, general";"712";"831";"949"
"Dancing";"03040";"3";"Ballroom, slow, examples: waltz, foxtrot, slow dancing, samba tango, rumba, 19th century dance, mambo, cha cha";"189";"220";"252"
"Dancing";"03042";"6";"Ballroom Dance, Recreational (Waltz, Foxtrot, Cha-cha, Swing)";"378";"441";"504"
"Dancing";"03050";"5.5";"Anishinaabe Jingle dancing, brisk pace, other traditional American Indian dancing performed by women, moderate effort";"346";"404";"462"
"Dancing";"03070";"3.8";"Contemporary dancing, general";"239";"279";"319"
"Dancing";"03072";"4.3";"Contemporary dancing, nightclub";"271";"316";"361"
"Dancing";"03075";"8.5";"Flamenco dance";"536";"625";"714"
"Dancing";"03078";"4.5";"Jazz dancing, general";"284";"331";"378"
"Dancing";"03080";"10.3";"Musical Theater, Singing/dancing";"649";"757";"865"
"Dancing";"03085";"5.8";"Polynesian dance, Hawaiian hula slow, Maori haka, Tongan";"365";"426";"487"
"Dancing";"03086";"7";"Polynesian dance, Hawaiian hula fast, Samoan sasa, Fijian style fast, Filipino Tinikling";"441";"514";"588"
"Dancing";"03087";"8.8";"Polynesian dance, Samoan slap, Tahitian";"554";"647";"739"
"Dancing";"03090";"4.8";"Salsa Dancing, with partner";"302";"353";"403"
"Dancing";"03091";"6.3";"Salsa dancing, to a video";"397";"463";"529"
"Dancing";"03093";"5.5";"Square Dancing, American Western, country";"346";"404";"462"
"Fishing & Hunting";"04001";"3.5";"Fishing, general";"220";"257";"294"
"Fishing & Hunting";"04005";"4.5";"Fishing, crab fishing";"284";"331";"378"
"Fishing & Hunting";"04007";"4";"Fishing, catching fish with hands";"252";"294";"336"
"Fishing & Hunting";"04010";"4.3";"Fishing related, digging worms, with shovel";"271";"316";"361"
"Fishing & Hunting";"04020";"4";"Fishing from river bank and walking";"252";"294";"336"
"Fishing & Hunting";"04030";"2";"Fishing from boat or canoe, sitting";"126";"147";"168"
"Fishing & Hunting";"04040";"3.5";"Fishing from river bank, standing (Taylor Code 660)";"220";"257";"294"
"Fishing & Hunting";"04050";"6";"Fishing in stream, in waders (Taylor Code 670)";"378";"441";"504"
"Fishing & Hunting";"04060";"2";"Fishing, ice, sitting";"126";"147";"168"
"Fishing & Hunting";"04061";"1.8";"Fishing, jig or line, standing, general";"113";"132";"151"
"Fishing & Hunting";"04062";"3.5";"Fishing, dip net, setting net and retrieving fish, general";"220";"257";"294"
"Fishing & Hunting";"04063";"3.8";"Fishing, set net, setting net and retrieving fish, general";"239";"279";"319"
"Fishing & Hunting";"04064";"3";"Fishing, fishing wheel, setting net and retrieving fish, general";"189";"220";"252"
"Fishing & Hunting";"04065";"2.3";"Fishing with a spear, standing";"145";"169";"193"
"Fishing & Hunting";"04070";"2.5";"Hunting, bow and arrow or crossbow";"158";"184";"210"
"Fishing & Hunting";"04080";"6";"Hunting, deer, elk, large game (Taylor Code 170)";"378";"441";"504"
"Fishing & Hunting";"04081";"9.8";"Hunting large game, dragging carcass";"617";"720";"823"
"Fishing & Hunting";"04083";"4";"Hunting large marine animals";"252";"294";"336"
"Fishing & Hunting";"04085";"2.5";"Hunting, large game from a hunting stand, limited walking";"158";"184";"210"
"Fishing & Hunting";"04086";"2";"Hunting large game from a car, plane, or boat";"126";"147";"168"
"Fishing & Hunting";"04090";"2.5";"Hunting, duck, wading";"158";"184";"210"
"Fishing & Hunting";"04095";"3";"Hunting flying fox, squirrel";"189";"220";"252"
"Fishing & Hunting";"04100";"5";"Hunting, general";"315";"368";"420"
"Fishing & Hunting";"04110";"6";"Hunting, pheasants or grouse (Taylor Code 680)";"378";"441";"504"
"Fishing & Hunting";"04115";"3.3";"Hunting birds";"208";"243";"277"
"Fishing & Hunting";"04120";"5";"Hunting, rabbit, squirrel, prairie chick, raccoon, small game (Taylor Code 690)";"315";"368";"420"
"Fishing & Hunting";"04123";"3.3";"Hunting pigs, wild";"208";"243";"277"
"Fishing & Hunting";"04124";"2";"Trapping game, general";"126";"147";"168"
"Fishing & Hunting";"04125";"9.5";"Hunting - hiking with hunting gear";"598";"698";"798"
"Fishing & Hunting";"04130";"2.5";"Pistol shooting or trap shooting, standing";"158";"184";"210"
"Fishing & Hunting";"04140";"2.3";"Rifle exercises, shooting, lying down";"145";"169";"193"
"Fishing & Hunting";"04145";"2.5";"Rifle exercises, shooting, kneeling or standing";"158";"184";"210"
"Fishing & Hunting";"04150";"2.8";"Foraging, 0-9.9kg backpack";"176";"206";"235"
"Fishing & Hunting";"04152";"3";"Foraging, 10-15kg backpack";"189";"220";"252"
"Fishing & Hunting";"04160";"1";"Sitting in boat, passenger";"63";"74";"84"
"Fishing & Hunting";"04164";"1.5";"Standing in boat";"94";"110";"126"
"Fishing & Hunting";"04168";"3.3";"Activities in a boat, lifting, lowering";"208";"243";"277"
"Home Activities";"05010";"3.3";"Cleaning, sweeping carpet or floors, general";"208";"243";"277"
"Home Activities";"05011";"2.3";"Cleaning, sweeping, slow, light effort";"145";"169";"193"
"Home Activities";"05012";"3.8";"Cleaning, sweeping, fast, moderate effort";"239";"279";"319"
"Home Activities";"05020";"3.5";"Cleaning  heavy or major (e.g., wash car, clean garage), moderate effort";"220";"257";"294"
"Home Activities";"05021";"3.5";"Cleaning, mopping, standing, moderate effort";"220";"257";"294"
"Home Activities";"05022";"3.3";"Cleaning windows, washing windows, general";"208";"243";"277"
"Home Activities";"05023";"2.5";"Mopping, standing, light effort";"158";"184";"210"
"Home Activities";"05024";"4.5";"Polishing floors, standing, walking slowly, using electric polishing machine";"284";"331";"378"
"Home Activities";"05025";"2.8";"Multiple household tasks all at once, light effort";"176";"206";"235"
"Home Activities";"05026";"3.3";"Multiple household tasks all at once, moderate effort";"208";"243";"277"
"Home Activities";"05027";"4.3";"Multiple household tasks all at once, vigorous effort";"271";"316";"361"
"Home Activities";"05030";"3.3";"Cleaning, house or cabin, general, moderate effort";"208";"243";"277"
"Home Activities";"05032";"2.5";"Dusting or polishing furniture, general";"158";"184";"210"
"Home Activities";"05035";"3.3";"Kitchen activity, general, (e.g., cooking, washing dishes, cleaning up) moderate effort";"208";"243";"277"
"Home Activities";"05040";"2.5";"Cleaning, general (straightening up, changing linen, carrying out trash), light effort";"158";"184";"210"
"Home Activities";"05041";"2";"Wash dishes, standing or in general (not broken into stand/walk components)";"126";"147";"168"
"Home Activities";"05042";"2";"Wash dishes, clearing dishes from table, walking, light effort";"126";"147";"168"
"Home Activities";"05043";"3";"Vacuuming, general, moderate effort";"189";"220";"252"
"Home Activities";"05044";"3";"Butchering animals, small";"189";"220";"252"
"Home Activities";"05045";"6";"Butchering animals, large, vigorous effort";"378";"441";"504"
"Home Activities";"05046";"2.3";"Cutting and smoking fish, drying fish or meat";"145";"169";"193"
"Home Activities";"05048";"4";"Tanning hides, general";"252";"294";"336"
"Home Activities";"05049";"3.5";"Cooking or food preparation, moderate effort";"220";"257";"294"
"Home Activities";"05051";"2.3";"Cooking or food preparation, walking";"145";"169";"193"
"Home Activities";"05052";"2.3";"Serving food, setting/cleaning table, implied walking or standing";"145";"169";"193"
"Home Activities";"05053";"2.5";"Feeding household animals";"158";"184";"210"
"Home Activities";"05054";"3.5";"carrying groceries, on level ground, walking";"220";"257";"294"
"Home Activities";"05055";"2.5";"Putting away groceries (e.g. carrying groceries, carrying packages)";"158";"184";"210"
"Home Activities";"05056";"5.3";"Carrying groceries upstairs";"334";"390";"445"
"Home Activities";"05057";"3";"Cooking Indian bread or other food on an outside stove";"189";"220";"252"
"Home Activities";"05060";"3.3";"Food shopping with or without a grocery cart; carrying a 10 lb bag; standing or walking";"208";"243";"277"
"Home Activities";"05065";"2.3";"Non-food shopping, with or without cart, standing or walking";"145";"169";"193"
"Home Activities";"05070";"1.8";"Ironing";"113";"132";"151"
"Home Activities";"05080";"1.3";"Knitting, sewing, light effort, wrapping presents, sitting";"82";"96";"109"
"Home Activities";"05082";"2.8";"Sewing with a machine";"176";"206";"235"
"Home Activities";"05091";"2";"Laundry, fold or hang clothes, sitting";"126";"147";"168"
"Home Activities";"05092";"4";"Laundry,  moderate effort";"252";"294";"336"
"Home Activities";"05095";"2";"Laundry,  putting away clothes, gathering clothes to pack, putting away laundry, implied walking";"126";"147";"168"
"Home Activities";"05100";"3";"Making bed, changing linens";"189";"220";"252"
"Home Activities";"05110";"5";"Maple syruping/sugar bushing (including carrying buckets, carrying wood)";"315";"368";"420"
"Home Activities";"05120";"5.8";"Moving furniture, household items, carrying boxes";"365";"426";"487"
"Home Activities";"05121";"5";"Moving, lifting light loads";"315";"368";"420"
"Home Activities";"05125";"4.8";"Organizing a room";"302";"353";"403"
"Home Activities";"05130";"3.5";"Scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, moderate effort";"220";"257";"294"
"Home Activities";"05131";"2";"Scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, light effort";"126";"147";"168"
"Home Activities";"05132";"6.5";"Scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, vigorous effort";"410";"478";"546"
"Home Activities";"05140";"3";"Sweeping garage, sidewalk, or outside house";"189";"220";"252"
"Home Activities";"05147";"3";"Implied walking, putting away household items, moderate effort";"189";"220";"252"
"Home Activities";"05148";"2";"Watering  plants";"126";"147";"168"
"Home Activities";"05149";"2.5";"Building a fire inside";"158";"184";"210"
"Home Activities";"05150";"9";"Moving household items upstairs, carrying boxes or furniture";"567";"662";"756"
"Home Activities";"05160";"2";"Standing, light effort tasks (pump gas, change light bulb, etc.)";"126";"147";"168"
"Home Activities";"05165";"3.5";"Walking, moderate effort tasks, non-cleaning (readying to leave, shut/lock doors, close windows, etc.";"220";"257";"294"
"Home Activities";"05170";"2.3";"Sitting, playing with child(ren), light effort, only active periods";"145";"169";"193"
"Home Activities";"05171";"2.8";"Standing, playing with child(ren), light effort, only active periods";"176";"206";"235"
"Home Activities";"05175";"3.5";"Walking/running, playing with child(ren), moderate effort, only active periods";"220";"257";"294"
"Home Activities";"05180";"5.8";"Walking/running, playing with child(ren), vigorous effort, only active periods";"365";"426";"487"
"Home Activities";"05181";"3";"Walking and carrying small child, child weighing 15 lbs or more";"189";"220";"252"
"Home Activities";"05182";"2.5";"Walking and carrying small child, child weighing less than 15 lbs";"158";"184";"210"
"Home Activities";"05183";"2";"Standing, holding child";"126";"147";"168"
"Home Activities";"05184";"2.5";"Child care, infant, general";"158";"184";"210"
"Home Activities";"05185";"2";"Child care: sitting or kneeling, dressing, bathing, grooming, feeding, occasional lifting of child-light effort, general";"126";"147";"168"
"Home Activities";"05186";"3.5";"Child care: standing, dressing, bathing, grooming, feeding, occasional lifting of child- light effort";"220";"257";"294"
"Home Activities";"05188";"1.5";"Reclining with baby";"94";"110";"126"
"Home Activities";"05189";"2";"Breastfeeding, sitting or reclining";"126";"147";"168"
"Home Activities";"05190";"2.5";"Sit, playing with animals, light, only active period";"158";"184";"210"
"Home Activities";"05191";"2.8";"Stand, playing with animals, light effort, only active periods";"176";"206";"235"
"Home Activities";"05192";"2.8";"Walk or run, playing with animals, general, light effort, only active periods";"176";"206";"235"
"Home Activities";"05193";"4";"Walk/run, playing with animals, moderate effort, only active periods";"252";"294";"336"
"Home Activities";"05194";"5";"Walk/run, playing with animals, vigorous effort, only active periods";"315";"368";"420"
"Home Activities";"05195";"3.5";"Standing, bathing dog";"220";"257";"294"
"Home Activities";"05197";"2.3";"Animal care, household animals, general";"145";"169";"193"
"Home Activities";"05200";"3";"Elder care, disabled adult, bathing, dressing, moving into and out of bed, only active periods";"189";"220";"252"
"Home Activities";"05205";"1.8";"Elder care, disabled adult, feeding, combing hair, light effort, only active periods";"113";"132";"151"
"Home Activities";"05300";"1.3";"Handwashing";"82";"96";"109"
"Home Repair";"06010";"3";"Airplane repair";"189";"220";"252"
"Home Repair";"06020";"4";"Automobile body work";"252";"294";"336"
"Home Repair";"06030";"3.3";"Automobile repair, light or moderate effort";"208";"243";"277"
"Home Repair";"06040";"3";"Carpentry, general, workshop (Taylor Code 620)";"189";"220";"252"
"Home Repair";"06050";"6";"Carpentry, outside house, (Taylor Code 640)";"378";"441";"504"
"Home Repair";"06052";"3.8";"Carpentry, outside house, building a fence";"239";"279";"319"
"Home Repair";"06060";"3.3";"Carpentry, finishing, varnishing, or refinishing cabinets or furniture";"208";"243";"277"
"Home Repair";"06070";"6";"Carpentry, sawing hardwood, planing and drilling wood, moderate-to-vigorous effort";"378";"441";"504"
"Home Repair";"06072";"4";"Carpentry, home remodeling tasks, moderate effort";"252";"294";"336"
"Home Repair";"06074";"2.3";"Carpentry, home remodeling tasks, light effort";"145";"169";"193"
"Home Repair";"06080";"5";"Caulking, chinking log cabin";"315";"368";"420"
"Home Repair";"06090";"4.5";"Caulking, except log cabin";"284";"331";"378"
"Home Repair";"06100";"5";"Cleaning gutters";"315";"368";"420"
"Home Repair";"06110";"5";"Excavating garage";"315";"368";"420"
"Home Repair";"06120";"5";"Hanging storm windows";"315";"368";"420"
"Home Repair";"06122";"5";"Hanging sheet rock inside house";"315";"368";"420"
"Home Repair";"06124";"3";"Hammering nails";"189";"220";"252"
"Home Repair";"06126";"2.5";"Home repair, general, light effort";"158";"184";"210"
"Home Repair";"06127";"4.5";"Home repair, general, moderate effort";"284";"331";"378"
"Home Repair";"06128";"6";"Home repair, general, vigorous effort";"378";"441";"504"
"Home Repair";"06130";"4.5";"Laying or removing carpet";"284";"331";"378"
"Home Repair";"06140";"3.8";"Laying tile or linoleum";"239";"279";"319"
"Home Repair";"06144";"3";"Repairing appliances";"189";"220";"252"
"Home Repair";"06150";"5";"Painting, outside home (Taylor Code 650)";"315";"368";"420"
